"","y","t","s","i"
"315",2170000,1620926.49564453,1.32544650053516,1.0100298519064
"316",2122000,1612799.12950291,1.32218964328033,0.995110590440108
"317",2111000,1604382.20471252,1.31362548372963,1.00163347887222
"318",2079000,1596105.12052358,1.30035747849637,1.00168285138397
"319",2063000,1588504.82547666,1.30810031522709,0.992817992759267
"320",2061000,1584864.12374429,1.30491268729289,0.996562414497658
"321",2081000,1583857.70126573,1.3093684911402,1.00344606411217
"322",2018000,1581825.86437319,1.27390897030737,1.00143806210988
"323",1977000,1578452.79906509,1.25257991757101,0.999930062152857
"324",1924000,1574774.24931705,1.22106590724294,1.00057041494834
"325",1855000,1570771.39999989,1.17988560332476,1.00090077787565
"326",1790000,1567162.96069076,1.1461500364336,0.996546113494338
"327",1742000,1565581.46692489,1.1150078792491,0.997917279558756
"328",1684000,1567707.39698192,1.08249047104769,0.992322863235427
"329",1681000,1572361.25157796,1.06134936761513,1.00729578168775
"330",1595000,1575309.69193281,1.01140699580383,1.0010800097665
"331",1539000,1576681.63504216,0.978163516718506,0.997891102229124
"332",1497000,1578972.0657606,0.948268736605843,0.99980641969892
"333",1465000,1581949.37690461,0.92592115252327,1.0001635829439
"334",1407000,1585042.40691058,0.8876999856363,0.99997006362666
"335",1426000,1588184.75992671,0.897626889305955,1.00028244610276
"336",1391000,1592065.16997348,0.876385185952252,0.996945140827385
"337",1399000,1596864.6278583,0.873843692672891,1.00257266093061
"338",1389000,1600027.11985221,0.863417150033905,1.00543553674475
"339",1346000,1601366.42337626,0.844888542135805,0.994843853823638
"340",1494000,1604726.37461872,0.93378406093038,0.997018347457754
"341",1536000,1610244.77951754,0.951305395158217,1.00271925832412
"342",1496000,1617262.89013854,0.93249086287081,0.991987928480491
"343",1495000,1628945.86407286,0.922591700362783,0.994775310704888
"344",1501000,1645823.27079532,0.91370861198281,0.998136127936551
"345",1515000,1662956.6605841,0.90274110378752,1.0091796505063
"346",1457000,1674912.06050474,0.865099736041568,1.00554465652364
"347",1409000,1680403.09338702,0.833127316465649,1.00643596178748
"348",1325000,1682156.35316454,0.789981580474583,0.997085849642619
"349",1354000,1683104.27276081,0.801980033982991,1.00309966556654
"350",1297000,1684135.30824126,0.772551131415572,0.996863655015225
"351",1276000,1686278.44855474,0.757283171555572,0.999224511298317
"352",1270000,1689175.13774689,0.750206464760936,1.00218578428192
